smiles,mol_wt
Cc1cncc(C(=O)N[C@@]2(C)CC[NH+](Cc3cncc(F)c3)C2)c1,329.399
Cc1ccccc1C[NH+]1CC[C@@H](NC(=O)C2CCOCC2)C1,303.4260000000001
CC1(C)CN(C(=O)c2csc(-c3ccccc3)n2)CCCO1,316.42600000000016
C[C@H](NC(=O)N1CCCCCC[NH2+]CC1)c1ccccc1F,308.42099999999994
CCCc1noc(CNC(=O)C[C@H]2CCOC2)n1,253.30199999999994
CC(C)(O)CNC(=O)c1ccc(NC(=O)c2ccc(C[NH+]3CCCC3)cc2)cc1,396.51100000000025
Cc1ccc(C(=O)NC2CC[NH+](CCC3CCOCC3)CC2)cc1,331.48000000000013
Cc1cccc(C(=O)N2CC[NH+](Cc3cccs3)CC2)c1,301.43500000000006
C[C@H]1C[C@@H](Cc2ccccc2)[NH+](OCc2ccccc2)C1,282.40700000000004
Cc1cccc(CNC(=O)C(=O)NCCCc2ccccc2)c1,310.397
C[C@@H]1CCN(C(=O)C[NH+]2CC(c3ccc(F)cc3)C2)C1,277.36300000000006
CC[C@H](F)C[NH+]1CC(CNC(=O)c2cnc(C3CC3)o2)C1,296.3660000000001
Cc1ccc(C(=O)NC[C@H]2CCN(C(=O)C3CCCCC3)C2=O)o1,332.40000000000015
CC(C)(CNC(=O)Cc1ccc(F)cc1)c1ccc(F)cc1,303.35200000000003
Cc1[nH]cnc1C(=O)NC1C[NH+](CC[C@@H](C)c2ccccc2F)C1,331.415
Cc1ccc2oc(C(=O)NC3CC[NH+](CC4CCCC4)CC3)cc2c1,341.47500000000014
COc1ccc(CNC(=O)C2(c3ccc(Cl)cc3)CCC2)cc1,329.8270000000001
CCCC1(CNC(C)Cc2ccccc2)CCCC1,259.437
CCN(CC)C(=O)C(=O)NC[C@H]1CCC[NH+](CCc2ccccc2)C1,346.495
Cc1ccc(CCNc2cc(-c3ccccc3)n(C)n2)cc1,291.398
COc1ccc(C(=O)N2CC[C@H]([NH+]3CCN(C(=O)c4ccc(F)cc4)CC3)C2)cc1OC,442.5110000000002
COc1ccc(CCNC(=O)C(=O)NCc2cccc(C(F)(F)F)c2)cc1,380.36600000000004
O=CN1CCN(C(=O)c2ccccc2)CC1,218.256
Cc1cccc(C(=O)NCc2ccc3nc[nH]c3c2)c1C,279.3430000000001
Cc1cccc(C(=O)NCc2cccc(N3CCOCC3)c2)c1,310.3970000000001
CCCCCCN(Cc1ccccc1)CC1CCCCC1C,301.5180000000001
CCn1nccc1C(=O)N1CCC[C@@H](c2ccccc2)C1,283.375
CCOC(=O)c1ccc(OCC(=O)NCCC[NH+]2CCCC2)cc1,335.4240000000001
Cc1nocc1[C@H](C)[NH+]1CC(CNC(=O)c2ccc(F)cc2)C1,318.372
Cc1ccc(CCNC(=O)c2cccc(N3CCOCC3)c2)nc1,325.4120000000001
CC(C)CC[NH+]1CC[C@H](NC(=O)c2cccc(N3CCCC3)c2)C1,330.4960000000002
Cc1ccccc1CNC(=O)c1cn(-c2ccccc2)cn1,291.35400000000004
CC(C)CCCNC(=O)N1CCC(c2ccccc2)CC1,288.43500000000006
Cc1[nH]ccc1C(=O)NCC1C[NH+](Cc2ccccc2)C1,284.38300000000004
CCOC(=O)c1csc(NC(=O)N[C@@H]2CCN(c3ccccc3)C2)n1,360.4390000000001
CCC(C)(C)C(=O)N1CCC[C@@H](CNC(=O)c2ccc(C)nc2)C1,331.46000000000004
Cc1ccc(C(=O)N2CCC(NC(=O)C3CCCCC3)C2)cc1,314.4290000000001
Cc1cocc1C(=O)NC[C@@H](C)CNC(=O)CCC1CCOCC1,336.43200000000013
COc1cccc(C(=O)NCCNC(=O)C2CCCCC2)c1,304.39000000000004
CCc1occc1C(=O)NC[C@@H](C)COCc1ccccc1,301.38599999999997
COc1ccccc1C(=O)NCCCc1ccccc1,269.34399999999994
CCOc1ccc(C(=O)NC2CC[NH+](Cc3ccccc3)CC2)cc1C,353.4860000000001
Cc1ccc(NC(=O)NCC2CC[NH+](CC3CC3)CC2)c(C)c1,316.4690000000001
CCc1ncccc1C[NH2+]C[C@H]1CCCN1C(=O)OC(C)(C)C,320.457
Cc1cc(C(=O)N[C@H]2CC[NH+](Cc3ccon3)C2)c2ccccc2n1,337.403
CCc1cc(NC(=O)C(=O)Nc2ccc3c(c2)OCO3)n(C(C)C)n1,344.3710000000001
Cc1ccc(CC(=O)Nc2ccc(C[NH+]3CCCC3)cc2)cc1,309.433
COc1ccccc1C(=O)NC1C[NH+](CC(C)(C)c2ccccc2)C1,339.45900000000006
COC(=O)c1cccc(NC(=O)N2CCC(C)(C)CC2)c1,290.363
Cc1cc(C[NH+]2C3CC[C@H]2CN(C(=O)c2ccc(F)cn2)C3)no1,331.3710000000001
CCOC(=O)C1(NC(=O)C2CCCC2)CCC1,239.3149999999999
CCc1nc(C)c(N(C)C(=O)[C@@H]2CC[C@@H](c3ccccc3)C2)s1,328.48100000000005
Cc1ccc(C2CCN(C(=O)Cc3ccccc3)CC2)cc1,293.41
C[C@H]([NH2+]C1CCC(Cc2ccccc2)C1)c1ccccc1Cl,314.88
Cc1cc(NC(=O)N2CCCC2)ccc1-c1ccccc1,280.371
CCCCCC(=O)N[C@H](C)CNC(=O)c1ccccc1,276.38
CC(C)Oc1ccc(C(=O)NCc2ccn(-c3ccc(F)cc3)n2)cc1,353.39700000000005
COc1ccc([C@H](O)CNC(=O)CNC(=O)c2ccc(F)cc2)cc1,346.358
CCc1occc1C(=O)N1CCC(CNC(=O)c2ccc(C)o2)CC1,344.4110000000001
CCOc1ncccc1C(=O)NC1C[NH+](Cc2ccc(F)cc2)C1,330.38300000000004
Cc1cocc1C(=O)NC[C@@H](C)CNC(=O)C1(C)CCC1,292.3790000000001
Cc1ccccc1C(=O)NC1C[NH+](C)C1,205.28099999999998
O=C(NCC1CCCC1)c1ccc(-c2ccccc2)o1,269.34400000000005
CCn1nccc1C(=O)Nc1ccc(OCc2ccccc2)cc1,321.38
Cc1ccc(CC(=O)NC[C@H](C)C[NH+]2CCOCC2)cc1,291.415
