experiment,run_name,sampler,elapsed_sec,budget_per_sample,total_reward_evals,forward_passes,fp_per_sample,validity,uniqueness,qed_mean,qed_top10,qed_max,num_samples,beam_width,branching_factor,steps_per_interval,elite_buffer_size,diversity_penalty,diversity_cutoff,c_uct,rollout_budget_per_sample,softmax_temp,randomness,min_add_len,seed,reward_type,reward_alpha
hp_sweep,beam_B100_N10_L2_t05,beam_search,158.31868600845337,124.0,6200,195300,3906.0,1.0,1.0,0.9360378102349215,0.9459129747697961,0.9473970269670792,50,10,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N10_L2_t08,beam_search,100.78435325622559,90.0,4500,103500,2070.0,1.0,1.0,0.6841908215907752,0.8311823938029115,0.8329361013152555,50,10,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N10_L4_t05,beam_search,69.08161926269531,80.0,4000,84000,1680.0,0.6,1.0,0.7666393370725664,0.9479230456305644,0.9479230456305644,50,10,4,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N10_L4_t08,beam_search,189.017151594162,84.0,4200,88200,1764.0,0.88,1.0,0.7451268279087404,0.947978729889763,0.9480344141489615,50,10,4,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N10_L8_t05,beam_search,189.17083501815796,88.0,4400,96800,1936.0,0.38,1.0,0.7816684754767653,0.9479230456305644,0.9479230456305644,50,10,8,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N10_L8_t08,beam_search,66.41497111320496,80.0,4000,88000,1760.0,0.96,1.0,0.7534537093009003,0.9438513735021333,0.9443282081220039,50,10,8,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N20_L2_t05,beam_search,327.0497856140137,96.0,4800,98400,1968.0,0.86,1.0,0.7633431140419362,0.9470730365195323,0.947893550795942,50,20,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N20_L2_t08,beam_search,133.52857375144958,122.4,6120,159120,3182.4,1.0,1.0,0.8925894131913512,0.9442288902572198,0.946769903794239,50,20,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N20_L4_t05,beam_search,94.78835439682007,110.4,5520,126960,2539.2,0.64,1.0,0.7096455892157518,0.9479230456305644,0.9479230456305644,50,20,4,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N20_L4_t08,beam_search,134.1786756515503,134.4,6720,194880,3897.6,0.66,1.0,0.9447253135291087,0.9479230456305644,0.9479230456305644,50,20,4,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N20_L8_t05,beam_search,182.4396049976349,163.2,8160,277440,5548.8,0.26,1.0,0.9438502909407744,0.9479230456305644,0.9479230456305644,50,20,8,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N20_L8_t08,beam_search,88.41723799705505,105.6,5280,126720,2534.4,0.7,1.0,0.7968624430785195,0.9479280577744839,0.9479380820623227,50,20,8,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N50_L2_t05,beam_search,55.39971899986267,80.0,4000,82000,1640.0,0.26,1.0,0.9472772814140344,0.9479230456305644,0.9479230456305644,50,50,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N50_L2_t08,beam_search,76.55830001831055,96.0,4800,117600,2352.0,0.3,1.0,0.9475688724173572,0.9478300554393779,0.9478300554393779,50,50,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N50_L4_t05,beam_search,102.19429159164429,116.0,5800,174000,3480.0,0.1,1.0,0.9479217234665459,0.9480344141489615,0.9480344141489615,50,50,4,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N50_L4_t08,beam_search,217.1108124256134,80.0,4000,84000,1680.0,0.1,1.0,0.7175994852615286,0.7877869093565646,0.7877869093565646,50,50,4,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N50_L8_t05,beam_search,323.8135645389557,144.0,7200,252000,5040.0,0.18,1.0,0.9479230456305644,0.9479230456305644,0.9479230456305644,50,50,8,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N50_L8_t08,beam_search,54.17442274093628,80.0,4000,88000,1760.0,0.3,1.0,0.9480039324408285,0.948228541614831,0.948228541614831,50,50,8,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N5_L2_t05,beam_search,546.2845010757446,80.0,4000,82000,1640.0,1.0,1.0,0.7552291468235149,0.927385509150062,0.9323543819016517,50,5,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N5_L2_t08,beam_search,154.6343743801117,106.0,5300,143100,2862.0,1.0,1.0,0.9308118381076256,0.9466308497835378,0.9468508846809878,50,5,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N5_L4_t05,beam_search,161.9222640991211,120.0,6000,180000,3600.0,1.0,1.0,0.9274652728372146,0.9451724033770906,0.947893550795942,50,5,4,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N5_L4_t08,beam_search,134.09328842163086,108.0,5400,145800,2916.0,1.0,1.0,0.8701283360908887,0.9474319292066893,0.9478558875621353,50,5,4,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B100_N5_L8_t05,beam_search,124.49729681015015,104.0,5200,145600,2912.0,1.0,1.0,0.8064478076425259,0.9437223609375411,0.9437223609375412,50,5,8,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B100_N5_L8_t08,beam_search,101.14724206924438,96.0,4800,120000,2400.0,1.0,1.0,0.809698779521408,0.9462012253972711,0.9466786472143096,50,5,8,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L2_t05,beam_search,128.73951268196106,106.0,5300,143100,2862.0,1.0,1.0,0.9054595288154352,0.9469216279306361,0.947893550795942,50,10,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L2_t08,beam_search,773.6469776630402,118.0,5900,177000,3540.0,1.0,1.0,0.9218381733773836,0.9473532974736172,0.9481556770739474,50,10,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L4_t05,beam_search,865.8747751712799,216.0,10800,297000,5940.0,1.0,1.0,0.9422443952054154,0.9474668073640558,0.9479230456305644,50,10,4,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L4_t08,beam_search,229.7088873386383,216.0,10800,297000,5940.0,1.0,1.0,0.7951477557488955,0.9479230456305643,0.9479230456305644,50,10,4,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L8_t05,beam_search,120.11788392066956,160.0,8000,168000,3360.0,0.6,1.0,0.8655942787522355,0.9480344141489615,0.9480344141489615,50,10,8,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N10_L8_t08,beam_search,153.39604449272156,184.0,9200,211600,4232.0,1.0,1.0,0.9117320048391953,0.9477732377977561,0.9478653146576197,50,10,8,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L2_t05,beam_search,104.57230138778687,108.0,5400,124200,2484.0,0.76,1.0,0.6234555719771472,0.9467699037942389,0.946769903794239,50,20,2,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L2_t08,beam_search,106.81214213371277,110.4,5520,129720,2594.4,1.0,1.0,0.8717178222703171,0.9453507154095565,0.9465690164457922,50,20,2,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L4_t05,beam_search,180.0106143951416,206.4,10320,227040,4540.8,0.34,1.0,0.7487569895419718,0.9479230456305644,0.9479230456305644,50,20,4,1,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L4_t08,beam_search,138.8817834854126,192.0,9600,196800,3936.0,0.66,1.0,0.9196503072957342,0.9479405052469484,0.9480344141489615,50,20,4,1,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B200_N20_L8_t05,beam_search,175.36365509033203,211.2,10560,232320,4646.4,0.5,1.0,0.8265598837447412,0.9477931121106975,0.9478423903256857,50,20,8,2,50,,,,,0.5,0.5,40,0,none,0.0
