smiles,mol_wt
COc1ccc(C(=O)NC[C@@H]2CCN(C(=O)Cc3ccc(F)cc3)C2)cn1,371.41200000000003
c1ccc(C[NH+]2CC[C@@H](C[NH2+]CC3CCCCC3)C2)cc1,288.4789999999999
COCc1ccc(C(=O)OCC(=O)NCc2cccc(C)c2)cc1,327.38
CCc1c(C(=O)NCc2ccc(N(C)C)cc2)cnn1C,286.379
C[C@@H](NC(=O)C1(c2ccccc2)CC1)c1ccc(N2CCOCC2)cc1,350.46200000000016
CCc1ccc(C(=O)NC[C@H](C)CNC(=O)c2ccccc2)[nH]1,313.40099999999995
CCOC(=O)c1ccc(NC(=O)c2ccccc2-c2ccc(F)cc2)cc1C,377.4150000000001
CCCCc1ccc(NC(C(=O)O)c2ccccc2)cc1,283.371
CCCCOc1ccc(C(=O)N2CC[C@@H](C[NH+]3CCCC3)C2)cn1,332.46800000000013
CC[C@@H](CNC(=O)c1cc2ccccc2[nH]1)NC(=O)c1ocnc1C,340.38300000000015
Cc1ccc(CNC(=O)C2CCN(C(=O)c3ccccc3)CC2)o1,326.39600000000013
Cc1ccc(C(=O)NCCCOC2CCCCC2)cc1,275.39199999999994
CCc1cc(C[NH2+][C@H](C)c2ccc(Cl)cc2C)no1,279.791
COc1ccc(CNC(=O)CCCC2CC2)cc1,247.33799999999994
C[C@@H](CCNC(=O)[C@@H]1CCCOC1)NC(=O)c1ccc(-c2ccccc2)nc1,381.476
CC(C)(C)OC(=O)CCC[NH+]1CC[C@H](NC(=O)[C@H]2CCOC2)C1,327.44500000000016
CC[C@H](C)CCC(=O)N1CCC([NH2+]Cc2ccns2)CC1,310.4870000000001
Cc1ccc(C(=O)OCC(=O)N2CCOCC2)c(C)c1,277.31999999999994
COc1ccc(C(=O)Nc2ccc(N3CCCCC3)cc2)cc1,310.397
Cc1ccccc1C(=O)N[C@@H](C)CNC(=O)c1ccc(F)cn1,315.348
Cc1ccc(F)cc1C(=O)N1CCC[C@H]1c1ccc(F)cc1,301.336
C[C@@H]1CCCN(C(=O)NC2CC[NH+](Cc3ccc(C(F)(F)F)cc3)CC2)C1,384.4660000000001
CC(C)(C)c1ccc(C(=O)N[C@@H]2CCCC[C@H](C(N)=O)C2)cc1,316.44500000000005
CC(C)CNC(=O)c1ccc(NC(N)=O)cc1,235.28699999999998
Cn1ncc(NC(=O)c2ccccc2)c1C1CCCCC1,283.37500000000006
Cc1cc(CNC(=O)Nc2ccc(C(=O)NC3CC3)cc2)ccc1F,341.3860000000001
C[C@H]1CCCN1C(=O)c1cccc(C[NH+]2CCN(C(=O)OC(C)(C)C)CC2)c1,388.53200000000027
Cc1cc(C(=O)NC[C@H](C)CNC(=O)c2ccns2)c(C)o1,321.40200000000004
CC[C@H](C)C(=O)N1CC[C@@H](CNC(=O)C2=CCOCC2)C1,294.3950000000001
CC(C)(C)OC(=O)N[C@H]1CC[C@H](COCc2ccccc2)CC1,319.44500000000005
CCCC(=O)N1CCC(Nc2ccc(-n3cccn3)cc2)CC1,312.4170000000001
CC(=O)N1CC[C@H](NC(=O)c2ccc3cc[nH]c3c2)C1,271.32000000000005
Cc1cccnc1C(=O)NCC1CC[NH+](Cc2ccccc2)CC1,324.4480000000001
CCc1[nH]ccc1C(=O)NCC[C@@H](C)NC(=O)c1cccc(F)c1,331.39099999999996
Cc1ccccc1[C@H](C)C(=O)N1CC[C@@](C)(NC(=O)OC(C)(C)C)C1,346.4710000000001
CO[C@@H](C)C[NH+]1CCC[C@H]1CNC(=O)c1cccc2[nH]ccc12,316.42500000000007
Cc1c[nH]cc1C(=O)N1CCC(CNC(=O)CCC2CC2)CC1,317.4330000000001
Cc1cc(C(=O)NCCCCOc2ccccc2)on1,274.32
Cc1ccccc1C(=O)NC[C@@H](C)COC1CC1,247.33799999999994
CCc1ccccc1C(=O)NCCNC(=O)c1ccc(C)cc1C,324.42400000000004
Cc1[nH]ccc1C(=O)NC[C@@H](O)c1ccc(N2CCCC2)cc1,313.4010000000001
Cc1ccc(NC(=O)C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,341.3860000000001
Cc1cnc(C[NH+](C)C[C@@H]2CCCN2C(=O)C2CC2)s1,294.444
CC(C)Oc1ccc(C(=O)N[C@@H](C)CNC(=O)C2(C)CCC2)nc1,333.43200000000013
CC(C)(C[NH+]1CCCCC1)NC(=O)CCCC1CC1,267.43699999999995
CCc1cccc(NC(=O)c2csc(C3CCCC3)n2)c1,300.427
COc1ccccc1C[NH2+]C[C@@H]1CCCN1C(=O)C1CCCCC1,331.48000000000013
Cc1ccc(C(=O)N2CCC([NH+]3CCOCC3)CC2)c(O)c1,305.398
Cc1cc(C(=O)NC[C@@H](C)CNC(=O)c2ccncc2)co1,301.346
Cc1ccc(C(=O)NC2CCC(NC(=O)c3ccc(-n4cncn4)cc3)CC2)cc1,403.4860000000001
