smiles,mol_wt
Cc1cc(C(=O)NC2CCN(c3ccccc3)CC2)ns1,301.41499999999996
Cc1cc2ccccc2cc1C(=O)NC[C@@H]1CSCCO1,301.41100000000006
Cc1ccc2cc(C(=O)NC[C@@H]3CSCCO3)ccc2c1,301.411
Cc1ccc2ccc(C(=O)NC[C@H]3CSCCO3)cc2c1,301.411
Cc1c(C(=O)NC[C@@H]2CSCCO2)ccc2ccccc12,301.411
Cc1cccc2ccc(C(=O)NC[C@H]3CSCCO3)cc12,301.41100000000006
Cc1cc2ccccc2cc1C(=O)NC[C@H]1CSCCO1,301.41100000000006
Cc1cccc2cc(C(=O)NC[C@@H]3CSCCO3)ccc12,301.411
Cc1cccc2ccc(C(=O)NC[C@@H]3CSCCO3)cc12,301.41100000000006
Cc1cccc2cc(C(=O)NC[C@H]3CSCCO3)ccc12,301.411
Cc1cc(C(=O)NC[C@H]2CSCCO2)c2ccccc2c1,301.411
Cc1cccc2c(C(=O)NC[C@H]3CSCCO3)cccc12,301.411
Cc1ccsc1C(=O)N[C@H]1CCCN(c2ccccn2)C1,301.415
Cc1ncsc1C(=O)NC1CCN(c2ccccc2)CC1,301.4150000000001
Cc1sccc1C(=O)NC1CCN(c2ccccn2)CC1,301.4150000000001
Cc1cc(C(=O)NC2CCN(c3ccccc3)CC2)sn1,301.41499999999996
Cc1ccsc1C(=O)NC1CCN(c2ccccn2)CC1,301.4150000000001
Cc1nc(C(=O)NC2CCN(c3ccccc3)CC2)cs1,301.415
Cc1nscc1C(=O)NC1CCN(c2ccccc2)CC1,301.4150000000001
Cc1cnsc1C(=O)NC1CCN(c2ccccc2)CC1,301.4150000000001
Cc1scnc1C(=O)NC1CCN(c2ccccc2)CC1,301.4150000000001
Cc1cscc1C(=O)NC1CCN(c2ccccn2)CC1,301.4150000000001
Cc1cc(C(=O)NC2CCN(c3ccccn3)CC2)cs1,301.415
Cc1ccc(C(=O)NC2CCN(c3ccccn3)CC2)s1,301.415
Cc1csnc1C(=O)NC1CCN(c2ccccc2)CC1,301.4150000000001
O=C(c1ccc(Cl)cc1)N1CCCCC1,223.70299999999995
c1csc(C2CCNCC2)n1,168.265
Cc1ccc(C(=O)N2CCCCC2)cc1,203.28499999999997
CCOc1ccccc1O,138.16599999999997
Fc1cccc([C@@H]2CCCN2)c1,165.211
OC[CH]Cc1ccccc1,135.18599999999998
Cc1ccc(NC(=O)O)cc1,151.16500000000002
Fc1ccc(-c2ccon2)cc1,163.15099999999998
Cc1cccc([SH](=O)=O)c1C,170.233
Fc1ccc(N2CC[NH+]CC2)cc1,180.226
Fc1ccc(N2CCCCC2)cc1,179.238
CC(C)c1cccc(N)n1,136.19799999999998
Cc1ccc(N2CCCCC2)cc1,175.275
c1ccc(C[NH+]2CCNCC2)cc1,177.271
O=CN1CCC(CCCO)CC1,171.23999999999998
O=CN1CCC[C@@H](CCCO)C1,171.23999999999998
Fc1ccc(-n2cccn2)cc1,162.167
Cc1ccc([C@H](C)O)cc1,136.194
c1csc(C2CCCCC2)n1,167.277
OC[CH]c1ccccc1,121.15899999999996
CNCc1ccccc1,121.18299999999995
Fc1ccccc1N1CCCC1,165.21099999999996
NC(=O)c1ccc(F)cc1,139.129
c1ccc(N2CCCCC2)cc1,161.24800000000002
OCCCC1CCNCC1,143.23
