smiles,mol_wt
Cc1ccc(C(=O)Nc2ccc(N3CCOCC3)cc2)s1,302.39899999999994
Cc1cccc(NC(=O)c2ccccc2)c1,211.26400000000004
Cc1ccc(NC(=O)c2ccccc2)cc1,211.26400000000004
CCCNC(=O)c1ccccc1CC,191.27399999999997
CCCNC(=O)c1cccc(CC)c1,191.27399999999997
Cc1cccc(NC(=O)c2cccc(N)c2)c1,226.27900000000002
CC(C)c1cccc(C[NH+]2[CH]CCC2)c1,203.32899999999995
C[CH]CNC(=O)c1ccc(CC)o1,180.22699999999995
CCNC(=O)c1ccc(CC)cc1,177.24699999999996
NC(=O)c1cccc2c1CCCC2,175.2309999999999
Cc1ccc(C(=O)N2CCCCC2)cc1,203.28499999999997
Cc1ccc(C(N)=O)cc1F,153.156
NC(=O)c1ccc2nc[nH]c2c1,161.164
NC(=O)c1ccc2[nH]ncc2c1,161.164
Cc1ccc(C(N)=O)cc1C,149.193
CNC(=O)c1cccc(C)n1,150.18099999999998
Cc1ccc(C(=O)N2CCC2)o1,165.19199999999998
