smiles,mol_wt
Cc1ccc(NC(=O)CN2CCOc3ccccc32)cc1F,300.333
Cc1ccc(NC(=O)c2cccs2)cc1N1CCOCC1,302.39900000000017
Cc1nn(C)cc1CNC(=O)c1cc(Br)ccc1F,326.169
Cc1ccc(N2CCC(NC(=O)c3ccco3)CC2)cc1,284.35900000000004
COc1cccc(NC(=O)[C@H]2COc3ccccc3C2)c1,283.32700000000006
Cc1ccc(C(=O)[O-])cc1NC(=O)c1ccccc1Cl,288.71000000000004
Cc1ccc(NC(=O)c2ccc(C(=O)[O-])cc2)cc1Cl,288.71000000000004
Cc1ccc(N2CCC(NC(=O)c3cccs3)CC2)cc1,300.42700000000013
Cc1ccc(C(=O)[O-])cc1NC(=O)c1ccccc1Br,333.161
Cc1ccc(NC(=O)c2cccc(C(=O)[O-])c2)cc1Br,333.161
Cc1ccc2oc(CC(=O)NCC3CCCCC3)nc2c1,286.37499999999994
Cc1ccc2[nH+]c(C(=O)N(C)CC3CCOCC3)[nH]c2c1,288.3709999999999
COc1cccc(Nc2ccc(N3CCOC3=O)cc2)c1,284.31499999999994
COc1cccc(NC(=O)Cc2cccc(Br)c2)c1,320.186
COc1cccc(NC(=O)Cc2ccc(Br)cc2)c1,320.186
Cc1ccc([C@H]2CCCC[C@H]2NC(=O)c2ccsn2)cc1,300.427
Cc1ccc(-c2ccccc2)cc1NC(=O)[C@@H]1CCOC1,281.355
COc1cccc(Nc2ccc(N3CCCC3=O)cc2)c1,282.34299999999996
COc1cccc(C[NH+]2CCN(c3ccccc3)CC2)c1Cl,317.84000000000003
CCCC(=O)N1CCN(C(=O)N[C@H]2CCc3ccccc32)CC1,315.4170000000001
C[C@H]1CCC[C@@H]1C(=O)Nc1ccc(N2CCOCC2)cc1,288.391
C[C@@H]1CCC[C@@H]1C(=O)Nc1ccc(N2CCOCC2)cc1,288.391
C[C@@H]1CCC[C@H]1C(=O)Nc1ccc(N2CCOCC2)cc1,288.391
CCCC(=O)N1CCC(NC(=O)c2ccc(Cl)s2)CC1,314.8380000000001
Cc1ccc(C(=O)NCC2CCCCC2)c2cccnc12,282.387
Cc1ccc2nc(N3CC[NH+](CC4CCOCC4)CC3)sc2c1,332.49300000000005
COc1ccc(C)c(NC(=O)c2ccccc2OC)c1,271.316
COc1ccccc1NS(=O)(=O)c1ccc(Br)cc1,342.21399999999994
CCCC(=O)N1CCC(NC(=O)c2ccc(C)s2)CC1,294.4200000000001
CCCC(=O)N1CCC(NC(=O)c2cc(C)cs2)CC1,294.4200000000001
CCCC(=O)N1CCC[C@@H](NC(=O)c2ccc(C)s2)C1,294.4200000000001
C[C@H]1CCC[C@H]1C(=O)Nc1ccc(N2CCOCC2)nc1,289.379
COc1cccc(CNc2ccc3c(c2)OCCO3)c1,271.316
COc1ccc(CCNC(=O)N2CCCSCC2)cc1,294.42
COc1cc(C[NH+]2CCN(c3ccccc3)CC2)ccc1F,301.385
CC(C)C[NH+]1CCN(C(=O)c2ccnc3ccccc23)CC1,298.41000000000014
CC(C)C[NH+]1CCN(C(=O)c2cccc3cccnc23)CC1,298.41000000000014
CC(C)C[NH+]1CCN(C(=O)c2cnc3ccccc3c2)CC1,298.41000000000014
CC(C)C[NH+]1CCN(C(=O)c2ccc3ccccc3n2)CC1,298.41000000000014
Cc1ccc(NC(=O)c2ccc(C(=O)[O-])cc2)cc1F,272.255
Cc1ccc(C(=O)[O-])cc1NC(=O)c1ccccc1F,272.255
Cc1ccc(NC(=O)c2cccc(C(=O)[O-])c2)cc1F,272.255
COc1ccc(CNC(=O)N2CCCCCC2)cc1F,280.3429999999999
Cc1ccc(NC(=O)c2ccccc2C(=O)[O-])cc1C,268.29200000000003
Cc1ccc(NC(=O)c2cccc(C(=O)[O-])c2)cc1C,268.29200000000003
Cc1ccc(C(=O)[O-])cc1NC(=O)c1ccccc1C,268.29200000000003
Cc1ccc(NC(=O)c2ccc(C(=O)[O-])cc2)cc1C,268.29200000000003
COc1ccc(NC(=O)N2CCCCCC2)cc1OC,278.3519999999999
Cc1cc(CNC(=O)c2ccc(F)cc2F)n(C)n1,265.263
Cc1ccc(-c2cccs2)cc1NC(=O)N1CCOCC1,302.3990000000001
