smiles,mol_wt
C[C@@H]1COCC[C@H]1NC(=O)c1csc(-c2ccccc2)n1,302.399
Cc1cc(C(=O)N[C@H]2CCN(c3ccccc3Cl)C2)no1,305.76500000000004
Cc1cc(C(=O)N[C@@H]2CCN(c3ccccc3Cl)C2)no1,305.76500000000004
Cc1ccccc1-c1nsc(NC(=O)C2CCOCC2)n1,303.38700000000006
Cc1ccccc1-c1nnc(NC(=O)C2CCOCC2)s1,303.387
Cc1ccoc1C(=O)N[C@@H]1CCN(c2ccccc2Cl)C1,304.77700000000004
Cc1ccc(C(=O)N[C@H]2CCN(c3ccccc3Cl)C2)o1,304.77700000000004
Cc1ccc(C(=O)N[C@@H]2CCN(c3ccccc3Cl)C2)o1,304.77700000000004
Cc1ccc(C(=O)Nc2ccc(N3CCOCC3)nc2)s1,303.38699999999994
Cc1ncc(C(=O)Nc2ccc(N3CCOCC3)cc2)s1,303.38699999999994
Cc1ncc(C(=O)Nc2cccc(N3CCOCC3)c2)s1,303.387
Cc1ccccc1C(=O)Nc1nc(C2CCOCC2)ns1,303.38699999999994
Cc1ccc(C(=O)N[C@H]2CCN(c3ccccc3F)C2)o1,288.32200000000006
Cc1cc(C(=O)N[C@@H]2CCN(c3ccccc3F)C2)cs1,304.39000000000004
Cc1ccc(C(=O)N[C@H]2CCN(c3ccccc3F)C2)s1,304.39000000000004
Cc1ccccc1-c1csc(NC(=O)C2CCOCC2)n1,302.39900000000006
Cc1ccccc1C(=O)NC1CN(c2ccccc2Cl)C1,300.78900000000004
Cc1ccccc1NC(=O)c1ccn(C2CCOCC2)n1,285.34700000000004
Cc1ccccc1C(=O)Nc1cnn(C2CCOCC2)c1,285.34700000000004
C[C@H](NC(=O)c1ccnc2ccccc12)C1CCOCC1,284.3590000000001
C[C@H](NC(=O)c1cccc2cccnc12)[C@@H]1CCCOC1,284.359
C[C@@H](NC(=O)c1ccc2ccccc2n1)C1CCOCC1,284.3590000000001
CCC1(NC(=O)c2nccc3ccccc23)CCOCC1,284.3590000000001
Cc1ccccc1C(=O)Nc1nc(C2CCOCC2)cs1,302.39899999999994
Cc1ccccc1NC(=O)c1csc(C2CCOCC2)n1,302.39900000000006
Cc1ccc(C(=O)Nc2cccc(N3CCOCC3)c2)o1,286.331
Cc1ccoc1C(=O)NC1CCN(c2ccccc2)CC1,284.3590000000001
Cc1occc1C(=O)NC1CCN(c2ccccc2)CC1,284.3590000000001
Cc1cc(C(=O)NC2CCN(c3ccccc3)CC2)co1,284.359
C[C@H]1CCC[C@@H](NC(=O)c2cn(-c3ccccc3)nn2)C1,284.36300000000006
COc1ccc(NC(=O)[C@H]2COc3ccccc3C2)cc1,283.327
Cc1cccc(CCNC(=O)[C@@H]2OCCc3ccccc32)c1,295.382
Cc1ccccc1-c1nc(C(=O)NC2CCOCC2)co1,286.331
Cc1cccc(CCNC(=O)[C@H]2CCOc3ccccc32)c1,295.382
Cc1cc(C(=O)N[C@H]2CCN(c3ccccc3F)C2)no1,289.31000000000006
Cc1cc(C(=O)N[C@@H]2CCN(c3ccccc3F)C2)on1,289.31000000000006
C[C@H]1CCC[C@@H](NC(=O)c2ccn(-c3ccccc3)n2)C1,283.37500000000006
C[C@@H]1CCC[C@H](NC(=O)c2ccn(-c3ccccc3)n2)C1,283.37500000000006
C[C@H]1CCC[C@H](NC(=O)c2ccn(-c3ccccc3)n2)C1,283.37500000000006
C[C@@H]1CCCC[C@H]1NC(=O)c1ccn(-c2ccccc2)n1,283.375
Cc1ncc(C(=O)Nc2ccc(N3CCCCC3)cc2)s1,301.41499999999996
Cc1ccccc1-n1cc(C(=O)NC2CCCCC2)cn1,283.37499999999994
Cc1cccc(C(=O)N[C@@H]2CCN(c3ccccc3)C2)n1,281.35900000000004
Cc1ccc(C(=O)N[C@@H]2CCN(c3ccccc3)C2)cn1,281.359
Cc1ccccc1-n1ccc(C(=O)NC2CCOCC2)n1,285.34700000000004
Cc1ccccc1NC(=O)c1ccc(N2CCCC2)nc1,281.3589999999999
Cc1ccc(C2(C(=O)Nc3ccccc3[O-])CCC2)cc1,280.347
Cc1ccccc1NC(=O)c1cn(C2CCOCC2)nn1,286.335
CC(C)C(=O)NC1CCN(c2cccc3ccccc23)CC1,296.4140000000001
CC(NC(=O)[C@H]1COc2ccccc2C1)c1ccccc1,281.355
