smiles,mol_wt
CCc1ccc(CCCNC(=O)COCc2ccccc2)cc1,311.42499999999995
CN(C)c1ccccc1NC(=O)c1cc2ccccc2[nH]1,279.34299999999996
Cc1ccc(C(=O)N2CCC[C@@H](NC(=O)OC(C)(C)C)CC2)cc1F,350.43400000000014
CCc1ccc([C@@H](C)NC(=O)CNC(=O)c2cnn(-c3ccccc3)c2)cc1,376.46000000000004
Cc1ccc(C[NH+]2CC(NC(=O)c3ccc(N4CCCC4)cc3)C2)o1,340.4470000000002
CCOc1ccc(CNC(=O)C(=O)N2CC[NH+](CCC3CC3)CC2)cc1,360.4780000000002
Cc1ccccc1C(=O)N[C@@H](C)CNC(=O)c1ccc(F)cc1,314.36
CCc1[nH]ccc1C(=O)NCC1CC[NH+](Cc2ccccc2)CC1,326.46400000000006
Cc1ccccc1C(=O)N1CCC[C@H](C[NH2+]Cc2ccon2)C1,314.409
Cc1cccc(C[NH+]2CCC[C@H]2CNC(=O)c2cc[nH]n2)c1,299.39799999999997
CC[C@@H](F)C[NH+]1CCC[C@H](NC(=O)c2ccc(C)nc2)C1,294.39400000000006
Cc1cncc(NC(=O)N2CCO[C@@H](c3ccccc3)C2)c1Br,376.254
CC[NH+](C)[C@H]1CCCN(C(=O)C2CCN(c3ccccc3)CC2)C1,330.4960000000001
CCc1ccc(OCCOc2cccc(O)c2)cc1,258.317
Cc1cc(Cl)ccc1N1CCN(C(=O)C2CCCCC2)CC1,320.86400000000015
COc1ccc(-c2ccc(C(=O)C(=O)N3CCN(c4ccc(NC(C)=O)cc4)CC3)cc2)cc1,457.53000000000014
C[C@@H]1CCC[NH+](CC[NH2+]Cc2csc(C3CC3)n2)C1,281.469
CCC(C)C[NH+]1CCC[C@@H]1CNC(=O)c1cccc(C)n1,290.43100000000004
CCCC1(NC(=O)NCc2nc(-c3ccc(Cl)cc3)no2)CCC1,348.8340000000002
CCc1ccc(CNCc2noc(Cc3ccccc3)n2)o1,297.358
CC(C)C(=O)Nc1ccc(NC(=O)c2ccccc2)cc1,282.343
Cc1cccc(C(=O)Nc2ccc(NC(=O)N(C)CC3CC3)cc2)c1,337.4230000000001
Cc1ccc(-c2csc(NC(=O)N3CCOCC3)n2)cc1,303.387
CCOC(=O)CCNC(=O)C(=O)NC[C@@H]1CCC[C@H](OCc2ccccc2)C1,390.48000000000013
CC[C@@H](C)[C@H](NC(=O)NCCc1cccc(F)c1)c1ccccc1,328.431
CC(C)(C)OC(=O)N1CC[C@@H](NC(=O)NC2CC[NH2+]CC2)C1,313.42200000000014
Cc1nc(CCNC(=O)c2ccc3ccccc3c2)cs1,296.39500000000004
CCOC(=O)c1ccc(NCCCC2CC2)cc1,247.33799999999994
COc1ccc(C(=O)N(Cc2ccccc2)c2ccccc2)cc1,317.38800000000003
COc1ccc(F)c(C(=O)N2CCC3(CCCC3)C2)c1,277.33899999999994
Cc1ccccc1CN1CC[NH+](Cc2cccc(Cl)c2)CC1,315.86800000000005
CC(C)n1ccc(C(=O)NCC2C[NH+](Cc3ccccc3)C2)n1,313.425
CC(C)CCOc1ccc(NC(=O)C[NH+](C)CC2CCCCC2)cc1,347.5230000000002
Cc1cc(C(=O)N2CCC(Cc3ccccc3)CC2)nn1-c1ccccc1,359.47300000000007
CCC[NH+](C)CC1CCN(C(=O)c2cc(C)oc2C)CC1,293.43100000000004
CCOC(=O)N1CCC[C@H]1C(=O)N1CCC(C(C)(C)C)CC1,310.4380000000001
Cc1ccc(CCC[NH+]2CC(NC(=O)C3=CCOCC3)C2)s1,321.4660000000001
CCc1nocc1C[NH2+]C[C@H]1CCN(C(=O)c2ccccc2C)C1,328.43600000000004
CNC(=O)Nc1ccc(C[NH+]2CC[C@H](C)C2)cc1,248.34999999999997
Cc1cc(C)cc(C[NH2+]CC[NH+]2CCN(C(=O)OC(C)(C)C)CC2)c1,349.5190000000001
CCC1(C(=O)N2CC[C@H](CNC(=O)c3cccnc3)C2)CCC1,315.41700000000014
COc1ccc(NC(=O)NCCC(=O)N2CCc3ccccc32)cc1,339.395
Cc1cccc(C(=O)NC(c2ccccc2)c2ccccc2)c1,301.38900000000007
Cc1ccc(NC(=O)CCc2cc(C)n(-c3ccccc3)n2)cc1,319.408
CN1CC[NH+]([C@@H](CNC(=O)C(=O)NCc2ccccc2)c2ccccc2)CC1,381.5000000000001
CCc1ccc(NC(=O)c2ccc3c(c2)CCO3)cc1,267.328
Cc1ccccc1NC(=O)[C@@H](c1ccccc1)[NH+]1CCOCC1,311.40500000000014
CCCC[NH+](C)CCNC(=O)c1ccc(-c2ccc(OC)cc2)cc1,341.4750000000001
Cc1ccccc1C(=O)NC[C@@H]1CC[NH+](CC2CCCC2)C1,301.4540000000001
CCOc1nnc(C[NH+]2CCC(C)(NC(=O)c3cccs3)C2)o1,337.42500000000007
Cc1ccc(Nc2ccc(NC(=O)N3CCCC3)cc2)cc1,295.38599999999997
Cc1ccc(CNC(=O)N[C@H]2C[NH+](Cc3ccccc3)C[C@H]2C)o1,328.4360000000001
CC(C)(C)OC(=O)N1CCC(NC(=O)N2CC[C@H](c3ccccc3)C2)CC1,373.4970000000001
CCCC[NH+]1CCC(NC(=O)CCc2ccccc2)CC1,289.44300000000004
Cc1ccc(C[NH2+]C[C@@H]2CCCN2C(=O)c2ccoc2C)cn1,314.40900000000005
C[C@@H]1CCC[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C1,307.43700000000007
Cc1cc(C)cc(NC(=O)C(=O)N[C@H]2CCCN(C(=O)OC(C)(C)C)C2)c1,375.46900000000016
CCOC(=O)c1ccc(NC(=O)CNC(=O)OC(C)(C)C)cc1,322.36100000000005
Cc1ccc(CNC(=O)Cc2ccc(Cl)cc2N)s1,294.807
CCc1ccc(C(=O)NC2(C)CC[NH+](Cc3cnon3)CC2)o1,319.3850000000001
CCN(Cc1ccccc1)NC(=O)Nc1ccc(CCc2ccc(F)cc2)cc1,391.4900000000001
Cc1ccc(C(=O)NCC2(NC(=O)CCc3ccccc3)CCC2)cn1,351.45000000000016
CCc1nc2ccccc2n1C(=O)N1CC[NH+](C2CCCCC2)CC1,341.4790000000002
Cc1ccccc1C(=O)N1CCN(C(=O)C2CC2)CC1,272.348
COc1ccc(-c2noc(CCCc3ccccc3)n2)cc1,294.354
CC(C)C[C@H]1CCCCN1C(=O)NCc1ccccc1,274.408
Cc1ccc(C(=O)N2CCC(NC(=O)C(=O)N3CC[NH+](CC4CC4)CC3)CC2)cc1C,427.56900000000036
CCN(CC)C(=O)c1cc(N2CCOCC2)ccc1NC(=O)c1cccnc1,382.46400000000006
COc1ccc(CC(=O)NC2CCN(c3ccccc3)CC2)cn1,325.4120000000001
CCc1cc(C(=O)NCC2C[NH+](CCc3ccccc3)C2)no1,314.40900000000005
Cc1ncccc1C(=O)N1CCC[C@@H]1CNC(=O)CCCn1cccn1,355.44200000000006
Cc1ccc(C(N)=O)cc1,135.16600000000003
COc1ccccc1C[NH2+][C@H]1CCCN(C(=O)C(F)F)C1,299.34099999999995
COc1ccc(N2CCN(C(=O)c3ccc(F)cc3)CC2)cc1,314.36000000000007
Cc1ccc(-c2csc(NC(=O)c3ccc(Br)cc3)n2)cc1,373.27500000000003
Cc1ccc(CNC(=O)c2ccc(N3CCSCC3)cc2)cc1,326.4650000000001
Cc1ccccc1C(=O)NCCNC(=O)c1c(C)n[nH]c1C,300.36199999999997
CCc1cc(C(=O)N2CCC(C)(NC(=O)OC)C2)no1,281.31199999999995
CC(C)C[C@@H]1CCCN1C(=O)NCc1ccccc1,260.38100000000003
Cc1ccc(OCCC(=O)NCC[NH+]2CCSCC2)cc1,309.4550000000001
CCCc1csc(NC(=O)N2CCN(C(=O)Cc3ccccc3)CC2)n1,372.4940000000001
C[C@H](NC(=O)N1C[C@H](C)O[C@@H](C)C1)C(=O)c1ccc(F)cc1,308.353
Cc1cncc(C[NH+]2CC(CNC(=O)Cc3cccs3)C2)c1,316.45000000000005
CC(C)(C)OC(=O)N1CCC[C@@H](NC(=O)c2ccn(-c3ccccc3)n2)C1,370.4530000000001
CCc1cccc(C(=O)N2CCC[C@H]2C[NH2+]Cc2ccc(F)cn2)c1,342.43799999999993
Cc1ccc(CN2CC[NH+](CCc3ccccc3)CC2)cc1,295.45000000000005
Cc1ccc(C(=O)NCCCc2nc(-c3ccccc3)no2)cc1,321.38000000000005
CC1CCC(C(=O)Nc2ccn(-c3ccccc3)n2)CC1,283.3750000000001
CCc1ccc(C(=O)Nc2nnc(C3CC3)s2)s1,279.39
CC(C)C(=O)N1CC(NC(=O)Cc2ccccc2)C1,260.33700000000005
CCOC(=O)c1ccc(CNC(=O)c2ccc(C3CC3)cc2)s1,329.42100000000005
CC1CCN(C(=O)Nc2ccc(-n3cccn3)cc2)CC1,284.3630000000001
CCc1ccccc1C(=O)NC1C[NH+](Cc2ccccc2)C1,295.406
CCc1ccc(C(=O)NC2CC[NH+](Cc3cnc(OC)o3)C2)cc1,330.4080000000001
CC(C)C[NH+]1CC(NC(=O)c2ccc(-n3cccn3)cc2)C1,299.398
Cc1ccc(C(=O)N2CCO[C@H](c3ccccc3)C2)c(F)c1,299.345
Cc1ccncc1C[NH+]1CCC(C)(NC(=O)c2ccco2)CC1,314.4090000000001
CC(C)(C)OC(=O)N1CCC[NH+](Cc2ccc(C[NH+]3CCOCC3)cc2)CC1,391.5560000000002
CC[C@H](C)C[NH+]1CC[C@@H](NC(=O)Cc2cccs2)C1,281.44500000000005
Cc1ccc(NC(=O)c2ccc(N3CCOCC3)nc2)cc1,297.35799999999995
Cc1ccc(-c2noc(-c3nc(-c4ccc(C)cc4)no3)n2)cc1,318.33600000000007
CCOC(=O)N1CCC[C@H](C(=O)N2CCN(c3ccc(F)cc3)CC2)C1,363.4330000000001
COC(=O)c1ccc(OCCC(=O)N2CC[NH+](Cc3ccccc3)CC2)cc1,383.4680000000001
CCc1ncc(C(=O)N2CCO[C@@H](c3ccccc3)C2)s1,302.399
Cc1ccc(OCCNC(=O)C(=O)N2CCN(c3ccc4c(c3)OCO4)CC2)cc1C,425.48500000000024
COc1cccc(CC(=O)NC2CCN(C(=O)OC(C)(C)C)CC2)c1,348.44300000000015
CC[C@@H](CNC(=O)c1ccc(C)cc1C)NC(=O)c1ccc(OC)nc1,355.4380000000001
Cc1ncccc1C(=O)NCC1CC[NH+](Cc2ccc(F)cc2)CC1,342.43800000000005
O=C(NCC1CN(C(=O)c2ccc(F)cc2)C1)[C@H]1CC12CC2,302.34900000000016
CC(C)CC(NC(=O)[C@H]1CCC[C@@H](C)C1)c1ccccc1,287.44699999999995
CCOc1ccc(NC(=O)Nc2ccc(Cc3ccccc3)cc2)cc1,346.43
COc1ccc([C@@H](C)CC(=O)N2CCN(C(=O)c3ccccc3)CC2)cc1,366.46100000000007
Cc1cccc(N2CC[NH+](CCNC(=O)Cc3ccccc3)CC2)c1,338.4750000000001
Cc1ccc(-c2ccc(NC(=O)c3cccs3)cc2)cc1,293.391
CC[C@@H](CNC(=O)C1CC[NH+](CC)CC1)NC(=O)c1cncc(F)c1,351.44599999999997
CCc1nocc1C(=O)NC1C[NH+](Cc2ccc(N(C)C)cc2)C1,329.4240000000001
COc1cccc(C(=O)N2CCC[NH+](Cc3ccccc3)CC2)c1,325.432
Cc1cccc([C@@H](C)NC(=O)c2ccc(C[NH+]3CCOCC3)cc2)c1,339.4590000000001
Cc1nc2cccc(C(=O)Nc3ccc(-n4cccn4)cc3)c2o1,318.33600000000007
Cc1cc(C[NH2+]C2CCC(NC(=O)CC3CC3)CC2)co1,291.415
CC(C)Oc1cccc(NC(=O)NC[C@@H]2CCOC2)c1,278.352
CCOC(=O)c1ccc(C[NH+]2CCN(C(=O)Nc3ccccc3)CC2)s1,374.48600000000005
COc1ccc(C(=O)N2CC[C@H]3[C@H](CC[NH+]3Cc3cnoc3C)C2)cc1,356.4460000000001
CC1CCC(C[NH+]2CCC[C@H]2CNC(=O)[C@@H]2CCCO2)CC1,309.4740000000001
CC[NH+]1CCC(CCNC(=O)[C@@H]2C[C@H]2c2ccc(F)cc2F)CC1,337.4340000000001
C[C@@H]1CCCN(C(=O)CCc2cn(-c3ccccc3)nn2)C1,298.39000000000004
Cc1ccc(NC(=O)c2ccc(N3CCCC3)cc2)cn1,281.359
CC(=O)c1ccc(C(=O)NC2CCN(C(=O)OC(C)(C)C)C2)cc1,332.40000000000003
CCc1cccc(OC(=O)c2ccc3ccccc3c2)c1,276.335
CCc1ccc([C@@H](C)C(N)=O)cc1,177.24699999999996
CCCNC(=O)C1CCN(C(=O)C2CCN(c3ccccc3)CC2)CC1,357.49800000000016
Cc1cccc(C(=O)Nc2nnnn2-c2ccccc2)c1,279.30300000000005
CCc1occc1C(=O)NC[C@@H](C)CNC(=O)c1cc(C)[nH]c1C,331.41600000000005
Cc1cc(F)ccc1NC(=O)NC[C@H]1CCCO1,252.28899999999996
CC(C)(C)OC(=O)N1CCC[C@H](C[NH2+]Cc2ccc(Oc3ccc(F)cc3)cc2)C1,415.5290000000001
COc1cc(NC(=O)N2CCN(c3ccccc3)CC2)ccc1C,325.41200000000015
CCOC(=O)C1=CC(NC(=O)N2CCN(c3ccccc3)CC2)(c2ccccc2)CC1,419.5250000000002
CC(C)CC(=O)N1CCC(C[NH2+]CC2CC2)CC1,253.40999999999994
CC(C)CC(=O)N1CCC[C@H]1NC(=O)C1CCCCC1,280.41200000000003
CC(C)c1cc(C(=O)N[C@H](C)CNC(=O)[C@H]2CC2(C)C)no1,307.394
CC[C@H]1CCN(C(=O)NCc2ccc(OC)cc2)C1,262.353
Cc1csc(NC(=O)c2ccccc2N2CCOCC2)n1,303.3870000000001
CCOC(=O)C[NH+]1CCC(NC(=O)NCc2cccc(F)c2)CC1,338.40300000000013
C[C@@H](CCNC(=O)N1CCC([NH+]2CCOCC2)CC1)NC(=O)OC(C)(C)C,385.5290000000001
NC(=O)Nc1cccc(N2CCOCC2)c1,221.2599999999999
COc1ccc(C(=O)Nc2ccc(C)c(OC)c2)cc1,271.316
CCOC(=O)[C@H]([NH2+]C1CCCCC1)c1ccccc1,262.37299999999993
