smiles,mol_wt
COc1ccc(N2CCN(C(=O)N3CCN(c4ccc(F)cc4)CC3)CC2)cc1,398.4820000000002
Cc1ccc(-c2nc(C(=O)NC3CCCCC3)cs2)cc1,300.42699999999996
CCc1cc(C(=O)N2CC(CNC(=O)Cc3ccco3)C2)no1,317.3450000000001
Cc1ncc(C[NH+]2CC[C@H](CNC(=O)c3ccc[nH]3)C2)s1,305.427
CCc1ccccc1C(=O)NC[C@@H](C)CNC(=O)[C@@H](C)C1CC1,316.44500000000005
Cc1cccc(C(=O)N2CCC[C@@H]2CNC(=O)C2CCCCC2)n1,329.4440000000002
CC(C)(C)OC(=O)N1CCC([NH2+]C2CCCCCC2)CC1,297.463
Cc1ccncc1C[NH+]1CCC(C)(NC(=O)C2=CCCCC2)C1,314.4530000000002
CCc1ccc(CNC(=O)N[C@H](C)CCc2ccccc2)cc1,310.441
COCc1ccc(CNC(=O)c2ccc(OC)cc2)cc1,285.34299999999996
COc1ccc(CNC(=O)N2CC[NH+](CC3CCOCC3)CC2)cc1,348.46700000000016
COc1cccc(NC(=O)C(=O)N2CCC(C)CC2)c1,276.33599999999996
CC[C@@H](CNC(=O)[C@H]1CCC(C)(C)C1)NC(=O)c1ccc2nccn2c1,356.46999999999997
Cc1ccc(C(=O)NCC2(C)CCN(C(=O)c3ccccn3)CC2)cn1,352.4380000000001
CCc1ccccc1C(=O)N1CC[NH+](CCc2ccc(F)cc2)CC1,341.45000000000005
Cc1ccc(NC(=O)c2ccc(C3CCCC3)cc2)cc1,279.383
CCc1nc(C(=O)N2CCN(c3ccccc3)CC2)co1,285.34700000000004
CCc1ncccc1C(=O)N1CCC[C@@](C)(Cc2ccc(F)cc2)C1,340.44199999999995
C[C@H]1C[NH+](Cc2ccccc2)CN1C(=O)c1ccccc1,281.37899999999996
Cc1ccc([C@@H](C)NC(=O)COc2ccc(F)cc2)cc1,287.334
Cc1ccc(C(=O)NCc2csc(-c3ccccc3)n2)cc1,308.40600000000006
Cc1ccc(C(=O)N2CC[C@H](NC(=O)Cc3ccccc3)C2)cc1,322.4080000000001
CC(C)C[C@@H](O)CNC(=O)C1(c2ccccc2)CC1,261.365
Cc1cc(C(=O)N2CCC[C@H]2C[NH2+]C[C@H]2CCOC2)ccc1F,321.416
Cc1ccc(C[NH+]2CC[C@@H](CNC(=O)c3csnn3)C2)cc1,317.4380000000001
Cc1ccccc1C[NH+]1CC(NC(=O)c2ccn(C(C)(C)C)n2)C1,327.4520000000001
Cc1ccc(C(=O)NCCCOC2CCOCC2)cc1,277.3639999999999
Cc1ccccc1C(=O)N1CC[C@@](C)(CNC(=O)CCC2CCOCC2)C1,372.50900000000024
CCCC(=O)NCC[C@@H](C)NC(=O)CCc1ccccc1,290.407
CCc1nc(C[NH+]2CC[C@@](C)(NC(=O)c3ccccc3)C2)co1,314.4090000000001
Cc1ccccc1C(=O)NCC1(NC(=O)c2ccc(F)cc2)CCCC1,354.4250000000002
CC(C)c1ccccc1C(=O)NCC[NH+]1CCOCC1,277.388
CC(C)CC(=O)N1CC[C@@H](NC(=O)c2ccccc2)C1,274.3640000000001
CCOC(=O)c1ccc(C(=O)Nc2ccc(C[NH+]3CCOCC3)cc2)cc1F,387.4310000000002
Cc1cccc(C(=O)NC[C@@H](C)CNC(=O)C2(C)CCC2)c1,302.4180000000001
Cc1ccc([C@@H](C)[NH+]2CC(NC(=O)C[C@H]3CCOC3)C2)cc1,303.42600000000004
COc1ccc(CNC(=O)c2ccc(-c3ccccc3)c(F)c2)cc1,335.37800000000004
CC(C)NC(=O)C(=O)N1CCC(c2ccccc2)CC1,274.36400000000003
CCC[C@H](C)C(=O)N1CCC[C@H]1CNC(=O)C1=CCCCC1,306.45000000000016
Cc1ccc(C(=O)N2CCC[C@@H](C[NH+]3CCCC3)C2)cc1,287.42699999999996
Cc1ncc(C[NH+]2CCC[C@H]2CNC(=O)c2cccs2)s1,322.479
Cc1ccc(CNC(=O)N2CC[NH+](Cc3ccccc3)CC2)cc1,324.4480000000001
Cc1noc([C@@H](C)[NH2+]C2CCN(C(=O)c3ccc(F)cc3)CC2)n1,333.38700000000006
Cc1nocc1C[NH+]1CCC(NC(=O)c2c(F)cccc2F)CC1,336.3620000000001
COc1ccc(N2CCOCC2)cc1NC(=O)C(=O)NCc1ccccc1,369.42100000000005
Cc1ccc(C)c(C(=O)NCc2ccccc2C2CC2)c1,279.38300000000004
Cc1ccc(C2CC2)cc1C(=O)NCCC1CC1,243.34999999999997
Cc1cccc(C(=O)NC[C@@H]2CCCN2C(=O)c2cc[nH]c2)n1,312.37299999999993
CC[C@@H]1CCCN1C(=O)N1CCC[C@@H](C(F)(F)F)C1,278.318
CCCO[C@@H]1CCCN(C(=O)c2cccc(OC)n2)C1,278.35200000000003
